束ID,9相談,束（同じ返しで対応できる質問の束）,件数,繋ぎ先,ステータス,回答本文（スキルプラスくん・そのまま送れる完成文）,備考
S3-07,💳サービス③ お支払い・ご契約,会社・サービスへの不信/重大発表への不安,16,サポート（必ず人・最優先）,✅確定,"不安な気持ちにさせてしまって本当にごめんね。ここは曖昧にせず、正確にお伝えできるよう担当者から直接ご連絡するね🙇
①お名前 ②気がかりな点（見聞きした内容など）を教えてもらえる？必ず順番に確認してご案内します。24時間以内にお返事するね。",その他バケツから昇格した束。センシティブ最優先
S3-08,💳サービス③ お支払い・ご契約,登録情報の変更（メール/住所/氏名/電話）,11,サポート（事務手続き）,〔要確認: メール変更時の本人確認・システム手順〕,"登録情報（メール/お名前/住所/電話番号など）の変更だね。
①今のご登録名 ②変えたい項目 ③変更後の内容 を教えてくれる？内容を整えて、サポートで手続きをご案内するね😊 24時間以内にお返事するよ。",その他バケツから昇格した束
S3-09,💳サービス③ お支払い・ご契約,領収書・インボイス,3,サポート（必ず人）,✅確定（一般案内文）,"お支払い・ご契約のことだね。正確にお伝えしたいから、ここは担当者からきちんとご案内するね🙇
さしつかえなければ教えてください👇
①お名前
②どんなご相談か（例：料金/請求/受講期間/契約更新 など、ざっくりでOK）
→ 内容を整えて担当に繋ぎます。24時間以内にお返事するね。",トンマナはこの相談だけ少し丁寧め（人格は同じ）
S4-01,📂サービス④ 資料・アーカイブ・特典の場所,アーカイブ/録画の場所・視聴,154,サポート（v9=正確性優先）,✅即答候補あり〔要確認: 即答にしてよいか〕,"資料・アーカイブ・特典の場所だね！💡
ここは画面の構成が変わることがあって、AIが断定で案内すると場所がズレちゃうことがあるんだ。だから、いちばん正確に案内できる担当に繋ぐね😊
①探してるもの（アーカイブ/教材/資料/特典/ワークシートの提出先 など）
②（あれば）コース名・セミナー名
→ 整えてサポートに繋ぐね。24時間以内に返事くるよ。

▼即答にする場合のドラフト（A-01・確認点で可否判断）:
受講生サイトの「学習教材」の下の方（アーカイブ一覧）から見れるよ。見当たらなかったら画面のスクショを添えて教えてね😊",
S4-02,📂サービス④ 資料・アーカイブ・特典の場所,教材・資料・コースの場所,69,サポート,〔要確認: 現行コース一覧/追加手順/「公開されていません」時の対処〕,"資料・アーカイブ・特典の場所だね！💡
ここは画面の構成が変わることがあって、AIが断定で案内すると場所がズレちゃうことがあるんだ。だから、いちばん正確に案内できる担当に繋ぐね😊
①探してるもの（アーカイブ/教材/資料/特典/ワークシートの提出先 など）
②（あれば）コース名・セミナー名
→ 整えてサポートに繋ぐね。24時間以内に返事くるよ。",
S4-03,📂サービス④ 資料・アーカイブ・特典の場所,ワークシート・課題の提出,65,サポート（v9=正確性優先）,✅即答候補あり〔要確認: 即答にしてよいか〕,"資料・アーカイブ・特典の場所だね！💡
ここは画面の構成が変わることがあって、AIが断定で案内すると場所がズレちゃうことがあるんだ。だから、いちばん正確に案内できる担当に繋ぐね😊
①探してるもの（アーカイブ/教材/資料/特典/ワークシートの提出先 など）
②（あれば）コース名・セミナー名
→ 整えてサポートに繋ぐね。24時間以内に返事くるよ。

▼即答にする場合のドラフト（A-09）:
スマホは「共有とエクスポート → リンクをコピー」でURLにして送ってね。ファイル直添付はシステム上消えちゃうから、必ずURLで共有してね🙇",
S4-04,📂サービス④ 資料・アーカイブ・特典の場所,アーカイブ・録画の公開時期,26,サポート（v9=正確性優先）,✅即答候補あり〔要確認: 即答にしてよいか〕,"資料・アーカイブ・特典の場所だね！💡
ここは画面の構成が変わることがあって、AIが断定で案内すると場所がズレちゃうことがあるんだ。だから、いちばん正確に案内できる担当に繋ぐね😊
①探してるもの（アーカイブ/教材/資料/特典/ワークシートの提出先 など）
②（あれば）コース名・セミナー名
→ 整えてサポートに繋ぐね。24時間以内に返事くるよ。

▼即答にする場合のドラフト（A-19）:
アーカイブは、編集が入る場合で数日〜1週間くらいを目安にアップされるよ。公開後は「学習教材」内のアーカイブ一覧から見れるよ💡",
S4-05,📂サービス④ 資料・アーカイブ・特典の場所,特典の受け取り,26,サポート,〔要確認: 特典の配布場所・受け取り手順（別タスクで整備）〕,"資料・アーカイブ・特典の場所だね！💡
ここは画面の構成が変わることがあって、AIが断定で案内すると場所がズレちゃうことがあるんだ。だから、いちばん正確に案内できる担当に繋ぐね😊
①探してるもの（アーカイブ/教材/資料/特典/ワークシートの提出先 など）
②（あれば）コース名・セミナー名
→ 整えてサポートに繋ぐね。24時間以内に返事くるよ。",
S4-06,📂サービス④ 資料・アーカイブ・特典の場所,オープンチャット・リッチメニュー,25,サポート,✅確定（案内文）,"資料・アーカイブ・特典の場所だね！💡
ここは画面の構成が変わることがあって、AIが断定で案内すると場所がズレちゃうことがあるんだ。だから、いちばん正確に案内できる担当に繋ぐね😊
①探してるもの（アーカイブ/教材/資料/特典/ワークシートの提出先 など）
②（あれば）コース名・セミナー名
→ 整えてサポートに繋ぐね。24時間以内に返事くるよ。",
S4-07,📂サービス④ 資料・アーカイブ・特典の場所,上記の束に当てはまらない（この相談の共通の返しで対応）,8,サポート,✅確定（案内文）,"資料・アーカイブ・特典の場所だね！💡
ここは画面の構成が変わることがあって、AIが断定で案内すると場所がズレちゃうことがあるんだ。だから、いちばん正確に案内できる担当に繋ぐね😊
①探してるもの（アーカイブ/教材/資料/特典/ワークシートの提出先 など）
②（あれば）コース名・セミナー名
→ 整えてサポートに繋ぐね。24時間以内に返事くるよ。",
X-01,💬その他のご相談,上記に当てはまらない相談（交通整理→合流 or サポート）,1763,交通整理 → 合流 or サポート,✅確定（交通整理文）,"どんなことでも大丈夫だよ😊 まず、どうしたか教えてくれる？
（実は既存カテゴリ → 「それなら○○の相談だね！」と該当相談へ合流）
（本当に雑多 → 受け止めてから）話してくれてありがとう。サポートに共有しておいたほうがいいことなら、こっちで整えて繋ぐね。24時間以内に返事くるよ😊",束に昇格しない残りは全てここの定型フロー行き
